u_e,v_1
-120.0,13.662
-119.9,13.6972
-119.8,13.7317
-119.7,13.7663
-119.6,13.801
-119.5,13.8357
-119.4,13.8705
-119.3,13.9053
-119.2,13.9402
-119.1,13.9751
-119.0,14.0101
-118.9,14.0452
-118.8,14.0803
-118.7,14.1154
-118.6,14.1506
-118.5,14.1859
-118.4,14.2212
-118.3,14.2565
-118.2,14.2919
-118.1,14.3274
-118.0,14.3629
-117.9,14.3984
-117.8,14.4341
-117.7,14.4697
-117.6,14.5054
-117.5,14.5412
-117.4,14.577
-117.3,14.6129
-117.2,14.6488
-117.1,14.6848
-117.0,14.7208
-116.9,14.7569
-116.8,14.793
-116.7,14.8292
-116.6,14.8654
-116.5,14.9017
-116.4,14.938
-116.3,14.9744
-116.2,15.0109
-116.1,15.0473
-116.0,15.0839
-115.9,15.1204
-115.8,15.1571
-115.7,15.1937
-115.6,15.2305
-115.5,15.2673
-115.4,15.3041
-115.3,15.341
-115.2,15.3779
-115.1,15.4149
-115.0,15.4519
-114.9,15.489
-114.8,15.5261
-114.7,15.5632
-114.6,15.6005
-114.5,15.6377
-114.4,15.675
-114.3,15.7124
-114.2,15.7498
-114.1,15.7873
-114.0,15.8248
-113.9,15.8623
-113.8,15.8999
-113.69999999999999,15.9376
-113.60000000000001,15.9753
-113.5,16.013
-113.4,16.0508
-113.3,16.0886
-113.19999999999999,16.1265
-113.10000000000001,16.1644
-113.0,16.2024
-112.9,16.2404
-112.8,16.2785
-112.69999999999999,16.3166
-112.60000000000001,16.3547
-112.5,16.3929
-112.4,16.4312
-112.3,16.4695
-112.19999999999999,16.5078
-112.10000000000001,16.5462
-112.0,16.5846
-111.9,16.6231
-111.8,16.6616
-111.69999999999999,16.7001
-111.60000000000001,16.7387
-111.5,16.7774
-111.4,16.8161
-111.3,16.8548
-111.19999999999999,16.8936
-111.10000000000001,16.9324
-111.0,16.9713
-110.9,17.0102
-110.8,17.0491
-110.7,17.0881
-110.60000000000001,17.1271
-110.5,17.1662
-110.39999999999999,17.2053
-110.3,17.2445
-110.2,17.2837
-110.10000000000001,17.323
-110.0,17.3623
-109.89999999999999,17.4016
-109.8,17.441
-109.7,17.4804
-109.60000000000001,17.5198
-109.5,17.5593
-109.39999999999999,17.5989
-109.3,17.6384
-109.2,17.6781
-109.10000000000001,17.7177
-109.0,17.7574
-108.89999999999999,17.7972
-108.8,17.8369
-108.7,17.8767
-108.60000000000001,17.9166
-108.5,17.9565
-108.39999999999999,17.9964
-108.3,18.0364
-108.2,18.0764
-108.10000000000001,18.1165
-108.0,18.1565
-107.89999999999999,18.1967
-107.80000000000001,18.2368
-107.7,18.277
-107.6,18.3173
-107.5,18.3575
-107.39999999999999,18.3979
-107.30000000000001,18.4382
-107.2,18.4786
-107.1,18.519
-107.0,18.5595
-106.89999999999999,18.6
-106.80000000000001,18.6405
-106.7,18.6811
-106.6,18.7217
-106.5,18.7623
-106.39999999999999,18.803
-106.30000000000001,18.8437
-106.2,18.8844
-106.1,18.9252
-106.0,18.966
-105.89999999999999,19.0069
-105.80000000000001,19.0478
-105.7,19.0887
-105.6,19.1296
-105.5,19.1706
-105.39999999999999,19.2116
-105.30000000000001,19.2527
-105.2,19.2938
-105.1,19.3349
-105.0,19.376
-104.89999999999999,19.4172
-104.80000000000001,19.4584
-104.7,19.4997
-104.6,19.541
-104.5,19.5823
-104.4,19.6236
-104.3,19.665
-104.2,19.7064
-104.1,19.7478
-104.0,19.7893
-103.9,19.8308
-103.8,19.8723
-103.7,19.9139
-103.6,19.9555
-103.5,19.9971
-103.4,20.0387
-103.3,20.0804
-103.2,20.1221
-103.1,20.1639
-103.0,20.2056
-102.9,20.2474
-102.8,20.2892
-102.7,20.3311
-102.6,20.373
-102.5,20.4149
-102.4,20.4568
-102.3,20.4987
-102.2,20.5407
-102.1,20.5827
-102.0,20.6248
-101.9,20.6668
-101.8,20.7089
-101.7,20.751
-101.6,20.7932
-101.5,20.8353
-101.4,20.8775
-101.3,20.9197
-101.2,20.962
-101.1,21.0042
-101.0,21.0465
-100.9,21.0888
-100.8,21.1312
-100.7,21.1735
-100.6,21.2159
-100.5,21.2583
-100.4,21.3007
-100.3,21.3432
-100.2,21.3857
-100.1,21.4282
-100.0,21.4707
-99.9,21.5132
-99.8,21.5558
-99.7,21.5984
-99.6,21.641
-99.5,21.6836
-99.4,21.7263
-99.3,21.7689
-99.2,21.8116
-99.1,21.8543
-99.0,21.8971
-98.9,21.9398
-98.8,21.9826
-98.7,22.0254
-98.6,22.0682
-98.5,22.111
-98.4,22.1539
-98.3,22.1967
-98.19999999999999,22.2396
-98.10000000000001,22.2825
-98.0,22.3254
-97.9,22.3684
-97.8,22.4113
-97.69999999999999,22.4543
-97.60000000000001,22.4973
-97.5,22.5403
-97.4,22.5833
-97.3,22.6263
-97.19999999999999,22.6694
-97.10000000000001,22.7124
-97.0,22.7555
-96.9,22.7986
-96.8,22.8417
-96.69999999999999,22.8848
-96.60000000000001,22.928
-96.5,22.9711
-96.4,23.0143
-96.3,23.0575
-96.19999999999999,23.1007
-96.10000000000001,23.1439
-96.0,23.1871
-95.9,23.2303
-95.8,23.2736
-95.69999999999999,23.3168
-95.60000000000001,23.3601
-95.5,23.4034
-95.4,23.4467
-95.3,23.49
-95.2,23.5333
-95.10000000000001,23.5766
-95.0,23.6199
-94.89999999999999,23.6633
-94.8,23.7066
-94.7,23.75
-94.60000000000001,23.7934
-94.5,23.8368
-94.39999999999999,23.8802
-94.3,23.9236
-94.2,23.967
-94.10000000000001,24.0104
-94.0,24.0538
-93.89999999999999,24.0973
-93.8,24.1407
-93.7,24.1841
-93.60000000000001,24.2276
-93.5,24.2711
-93.39999999999999,24.3145
-93.3,24.358
-93.2,24.4015
-93.10000000000001,24.445
-93.0,24.4885
-92.89999999999999,24.532
-92.8,24.5755
-92.7,24.619
-92.60000000000001,24.6626
-92.5,24.7061
-92.39999999999999,24.7496
-92.3,24.7932
-92.2,24.8367
-92.1,24.8802
-92.0,24.9238
-91.89999999999999,24.9673
-91.80000000000001,25.0109
-91.7,25.0544
-91.6,25.098
-91.5,25.1416
-91.39999999999999,25.1851
-91.30000000000001,25.2287
-91.2,25.2723
-91.1,25.3158
-91.0,25.3594
-90.89999999999999,25.403
-90.80000000000001,25.4466
-90.7,25.4901
-90.6,25.5337
-90.5,25.5773
-90.39999999999999,25.6209
-90.30000000000001,25.6644
-90.2,25.708
-90.1,25.7516
-90.0,25.7951
-89.89999999999999,25.8387
-89.80000000000001,25.8823
-89.7,25.9258
-89.6,25.9694
-89.5,26.0129
-89.39999999999999,26.0565
-89.30000000000001,26.1
-89.2,26.1436
-89.1,26.1871
-89.0,26.2307
-88.9,26.2742
-88.8,26.3177
-88.7,26.3613
-88.6,26.4048
-88.5,26.4483
-88.4,26.4918
-88.3,26.5353
-88.2,26.5788
-88.1,26.6223
-88.0,26.6658
-87.9,26.7093
-87.8,26.7527
-87.7,26.7962
-87.6,26.8397
-87.5,26.8831
-87.4,26.9266
-87.3,26.97
-87.2,27.0134
-87.1,27.0569
-87.0,27.1003
-86.9,27.1437
-86.8,27.1871
-86.7,27.2305
-86.6,27.2739
-86.5,27.3173
-86.4,27.3606
-86.3,27.404
-86.2,27.4473
-86.1,27.4907
-86.0,27.534
-85.9,27.5773
-85.8,27.6206
-85.7,27.6639
-85.6,27.7072
-85.5,27.7505
-85.4,27.7937
-85.3,27.837
-85.2,27.8802
-85.1,27.9235
-85.0,27.9667
-84.9,28.0099
-84.8,28.0531
-84.7,28.0962
-84.6,28.1394
-84.5,28.1825
-84.4,28.2257
-84.3,28.2688
-84.2,28.3119
-84.1,28.355
-84.0,28.398
-83.9,28.4411
-83.8,28.4841
-83.7,28.5271
-83.6,28.5702
-83.5,28.6131
-83.4,28.6561
-83.3,28.6991
-83.2,28.742
-83.1,28.7849
-83.0,28.8278
-82.9,28.8707
-82.8,28.9136
-82.69999999999999,28.9564
-82.60000000000001,28.9993
-82.5,29.0421
-82.4,29.0849
-82.3,29.1277
-82.19999999999999,29.1704
-82.10000000000001,29.2131
-82.0,29.2559
-81.9,29.2986
-81.8,29.3412
-81.69999999999999,29.3839
-81.60000000000001,29.4265
-81.5,29.4692
-81.4,29.5118
-81.3,29.5543
-81.19999999999999,29.5969
-81.10000000000001,29.6395
-81.0,29.682
-80.9,29.7245
-80.8,29.767
-80.69999999999999,29.8095
-80.60000000000001,29.8519
-80.5,29.8943
-80.4,29.9367
-80.3,29.9791
-80.19999999999999,30.0214
-80.10000000000001,30.0637
-80.0,30.106
-79.9,30.1483
-79.8,30.1905
-79.69999999999999,30.2328
-79.60000000000001,30.275
-79.5,30.3171
-79.39999999999999,30.3593
-79.3,30.4014
-79.2,30.4435
-79.10000000000001,30.4856
-79.0,30.5277
-78.89999999999999,30.5697
-78.8,30.6117
-78.7,30.6537
-78.60000000000001,30.6956
-78.5,30.7376
-78.39999999999999,30.7795
-78.3,30.8213
-78.2,30.8632
-78.10000000000001,30.905
-78.0,30.9468
-77.89999999999999,30.9885
-77.8,31.0303
-77.7,31.072
-77.60000000000001,31.1137
-77.5,31.1553
-77.39999999999999,31.197
-77.3,31.2386
-77.2,31.2801
-77.10000000000001,31.3217
-77.0,31.3632
-76.89999999999999,31.4047
-76.8,31.4461
-76.7,31.4875
-76.6,31.5289
-76.5,31.5703
-76.39999999999999,31.6116
-76.30000000000001,31.6529
-76.2,31.6942
-76.1,31.7354
-76.0,31.7767
-75.89999999999999,31.8178
-75.80000000000001,31.859
-75.7,31.9001
-75.6,31.9412
-75.5,31.9823
-75.39999999999999,32.0233
-75.30000000000001,32.0643
-75.2,32.1052
-75.1,32.1462
-75.0,32.1871
-74.89999999999999,32.2279
-74.80000000000001,32.2688
-74.7,32.3096
-74.6,32.3503
-74.5,32.3911
-74.39999999999999,32.4318
-74.30000000000001,32.4724
-74.2,32.5131
-74.1,32.5537
-74.0,32.5942
-73.89999999999999,32.6348
-73.80000000000001,32.6753
-73.7,32.7157
-73.6,32.7561
-73.5,32.7965
-73.4,32.8369
-73.3,32.8772
-73.2,32.9175
-73.1,32.9578
-73.0,32.998
-72.9,33.0382
-72.8,33.0783
-72.7,33.1184
-72.6,33.1585
-72.5,33.1985
-72.4,33.2385
-72.3,33.2785
-72.2,33.3184
-72.1,33.3583
-72.0,33.3982
-71.9,33.438
-71.8,33.4778
-71.7,33.5175
-71.6,33.5572
-71.5,33.5969
-71.4,33.6365
-71.3,33.6761
-71.2,33.7157
-71.1,33.7552
-71.0,33.7947
-70.9,33.8341
-70.8,33.8735
-70.7,33.9129
-70.6,33.9522
-70.5,33.9915
-70.4,34.0308
-70.3,34.07
-70.2,34.1091
-70.1,34.1483
-70.0,34.1874
-69.9,34.2264
-69.8,34.2654
-69.7,34.3044
-69.6,34.3433
-69.5,34.3822
-69.4,34.4211
-69.3,34.4599
-69.2,34.4987
-69.1,34.5374
-69.0,34.5761
-68.9,34.6147
-68.8,34.6533
-68.7,34.6919
-68.6,34.7304
-68.5,34.7689
-68.4,34.8074
-68.3,34.8458
-68.2,34.8841
-68.1,34.9224
-68.0,34.9607
-67.9,34.9989
-67.8,35.0371
-67.7,35.0753
-67.6,35.1134
-67.5,35.1515
-67.4,35.1895
-67.3,35.2275
-67.2,35.2654
-67.10000000000001,35.3033
-67.0,35.3412
-66.9,35.379
-66.8,35.4167
-66.69999999999999,35.4545
-66.60000000000001,35.4921
-66.5,35.5298
-66.4,35.5674
-66.3,35.6049
-66.19999999999999,35.6424
-66.10000000000001,35.6799
-66.0,35.7173
-65.9,35.7547
-65.8,35.792
-65.69999999999999,35.8293
-65.60000000000001,35.8665
-65.5,35.9037
-65.4,35.9409
-65.3,35.978
-65.19999999999999,36.0151
-65.10000000000001,36.0521
-65.0,36.0891
-64.9,36.126
-64.8,36.1629
-64.69999999999999,36.1997
-64.60000000000001,36.2365
-64.5,36.2733
-64.4,36.31
-64.3,36.3466
-64.19999999999999,36.3832
-64.10000000000001,36.4198
-64.0,36.4563
-63.9,36.4928
-63.8,36.5292
-63.70000000000001,36.5656
-63.6,36.602
-63.5,36.6383
-63.4,36.6745
-63.3,36.7107
-63.2,36.7469
-63.1,36.783
-63.0,36.819
-62.9,36.8551
-62.8,36.891
-62.7,36.927
-62.6,36.9628
-62.5,36.9987
-62.4,37.0345
-62.300000000000004,37.0702
-62.199999999999996,37.1059
-62.1,37.1415
-62.0,37.1771
-61.9,37.2127
-61.800000000000004,37.2482
-61.699999999999996,37.2837
-61.6,37.3191
-61.5,37.3544
-61.400000000000006,37.3897
-61.3,37.425
-61.199999999999996,37.4602
-61.1,37.4954
-61.0,37.5305
-60.900000000000006,37.5656
-60.8,37.6007
-60.699999999999996,37.6356
-60.6,37.6706
-60.5,37.7055
-60.400000000000006,37.7403
-60.3,37.7751
-60.199999999999996,37.8098
-60.1,37.8445
-60.0,37.8792
-59.9,37.9138
-59.8,37.9483
-59.7,37.9828
-59.6,38.0173
-59.5,38.0517
-59.4,38.0861
-59.3,38.1204
-59.2,38.1547
-59.1,38.1889
-59.0,38.223
-58.9,38.2572
-58.8,38.2912
-58.7,38.3252
-58.6,38.3592
-58.5,38.3931
-58.4,38.427
-58.3,38.4609
-58.2,38.4946
-58.1,38.5284
-58.0,38.562
-57.9,38.5957
-57.8,38.6293
-57.7,38.6628
-57.6,38.6963
-57.5,38.7297
-57.4,38.7631
-57.3,38.7964
-57.2,38.8297
-57.1,38.863
-57.0,38.8962
-56.9,38.9293
-56.800000000000004,38.9624
-56.7,38.9955
-56.599999999999994,39.0285
-56.5,39.0614
-56.4,39.0943
-56.300000000000004,39.1272
-56.2,39.16
-56.099999999999994,39.1927
-56.0,39.2254
-55.9,39.2581
-55.800000000000004,39.2907
-55.7,39.3232
-55.599999999999994,39.3557
-55.5,39.3882
-55.4,39.4206
-55.300000000000004,39.4529
-55.199999999999996,39.4853
-55.1,39.5175
-55.0,39.5497
-54.9,39.5819
-54.800000000000004,39.614
-54.699999999999996,39.6461
-54.6,39.6781
-54.5,39.71
-54.4,39.7419
-54.300000000000004,39.7738
-54.199999999999996,39.8056
-54.1,39.8374
-54.0,39.8691
-53.900000000000006,39.9008
-53.8,39.9324
-53.699999999999996,39.9639
-53.6,39.9955
-53.5,40.0269
-53.400000000000006,40.0583
-53.3,40.0897
-53.199999999999996,40.121
-53.1,40.1523
-53.0,40.1835
-52.900000000000006,40.2147
-52.8,40.2458
-52.699999999999996,40.2769
-52.6,40.3079
-52.5,40.3389
-52.400000000000006,40.3698
-52.3,40.4007
-52.2,40.4315
-52.1,40.4623
-52.0,40.493
-51.9,40.5237
-51.8,40.5543
-51.7,40.5849
-51.6,40.6154
-51.5,40.6459
-51.4,40.6763
-51.3,40.7067
-51.2,40.737
-51.1,40.7673
-51.0,40.7975
-50.9,40.8277
-50.8,40.8578
-50.7,40.8879
-50.6,40.9179
-50.5,40.9479
-50.4,40.9779
-50.3,41.0077
-50.2,41.0376
-50.1,41.0674
-50.0,41.0971
-49.9,41.1268
-49.8,41.1564
-49.7,41.186
-49.6,41.2156
-49.5,41.2451
-49.4,41.2745
-49.3,41.3039
-49.2,41.3332
-49.099999999999994,41.3625
-49.0,41.3918
-48.9,41.421
-48.800000000000004,41.4501
-48.7,41.4792
-48.599999999999994,41.5083
-48.5,41.5373
-48.4,41.5662
-48.300000000000004,41.5951
-48.2,41.624
-48.099999999999994,41.6528
-48.0,41.6816
-47.9,41.7103
-47.800000000000004,41.7389
-47.7,41.7675
-47.6,41.7961
-47.5,41.8246
-47.4,41.8531
-47.300000000000004,41.8815
-47.199999999999996,41.9099
-47.1,41.9382
-47.0,41.9664
-46.9,41.9947
-46.800000000000004,42.0228
-46.699999999999996,42.051
-46.6,42.079
-46.5,42.1071
-46.4,42.135
-46.300000000000004,42.163
-46.199999999999996,42.1909
-46.1,42.2187
-46.0,42.2465
-45.900000000000006,42.2742
-45.8,42.3019
-45.699999999999996,42.3296
-45.6,42.3571
-45.5,42.3847
-45.400000000000006,42.4122
-45.3,42.4396
-45.199999999999996,42.467
-45.1,42.4944
-45.0,42.5217
-44.900000000000006,42.549
-44.8,42.5762
-44.699999999999996,42.6033
-44.6,42.6304
-44.5,42.6575
-44.4,42.6845
-44.3,42.7115
-44.2,42.7384
-44.1,42.7653
-44.0,42.7921
-43.9,42.8189
-43.8,42.8457
-43.7,42.8724
-43.6,42.899
-43.5,42.9256
-43.4,42.9521
-43.3,42.9786
-43.2,43.0051
-43.1,43.0315
-43.0,43.0579
-42.9,43.0842
-42.8,43.1104
-42.7,43.1367
-42.6,43.1628
-42.5,43.1889
-42.4,43.215
-42.3,43.2411
-42.2,43.267
-42.1,43.293
-42.0,43.3189
-41.9,43.3447
-41.8,43.3705
-41.7,43.3963
-41.6,43.422
-41.5,43.4476
-41.4,43.4732
-41.300000000000004,43.4988
-41.2,43.5243
-41.099999999999994,43.5498
-41.0,43.5752
-40.9,43.6006
-40.800000000000004,43.6259
-40.7,43.6512
-40.599999999999994,43.6765
-40.5,43.7017
-40.4,43.7268
-40.300000000000004,43.7519
-40.2,43.777
-40.099999999999994,43.802
-40.0,43.827
-39.9,43.8519
-39.800000000000004,43.8768
-39.699999999999996,43.9016
-39.6,43.9264
-39.5,43.9511
-39.4,43.9758
-39.300000000000004,44.0005
-39.199999999999996,44.0251
-39.1,44.0497
-39.0,44.0742
-38.9,44.0987
-38.800000000000004,44.1231
-38.699999999999996,44.1475
-38.6,44.1718
-38.5,44.1961
-38.4,44.2203
-38.3,44.2446
-38.199999999999996,44.2687
-38.1,44.2928
-38.0,44.3169
-37.900000000000006,44.3409
-37.8,44.3649
-37.699999999999996,44.3889
-37.6,44.4127
-37.5,44.4366
-37.400000000000006,44.4604
-37.3,44.4842
-37.199999999999996,44.5079
-37.1,44.5316
-37.0,44.5552
-36.900000000000006,44.5788
-36.8,44.6023
-36.7,44.6258
-36.6,44.6493
-36.5,44.6727
-36.4,44.6961
-36.3,44.7194
-36.2,44.7427
-36.1,44.7659
-36.0,44.7891
-35.9,44.8123
-35.8,44.8354
-35.7,44.8584
-35.6,44.8815
-35.5,44.9044
-35.4,44.9274
-35.3,44.9503
-35.2,44.9731
-35.1,44.996
-35.0,45.0187
-34.9,45.0415
-34.8,45.0641
-34.7,45.0868
-34.6,45.1094
-34.5,45.1319
-34.4,45.1545
-34.3,45.1769
-34.2,45.1994
-34.1,45.2218
-34.0,45.2441
-33.9,45.2664
-33.8,45.2887
-33.7,45.3109
-33.6,45.3331
-33.5,45.3552
